,participants,micro avg,macro avg,weighted avg
precision,0.7377188328912467,0.7377188328912467,0.7377188328912467,0.7377188328912467
recall,0.39042057386714585,0.39042057386714585,0.39042057386714585,0.39042057386714585
f1-score,0.5106117353308365,0.5106117353308365,0.5106117353308365,0.5106117353308365
support,17809.0,17809.0,17809.0,17809.0
