,1,micro avg,macro avg,weighted avg
precision,0.3827883248306431,0.3827883248306431,0.3827883248306431,0.3827883248306432
recall,0.7032882606023356,0.7032882606023356,0.7032882606023356,0.7032882606023356
f1-score,0.4957487137828323,0.4957487137828323,0.4957487137828323,0.4957487137828323
support,6508.0,6508.0,6508.0,6508.0
