,0
PM_0,0.00017733183006984213
PM_1,0.0
PM_10,0.00191494016521002
PM_100,0.00027781516585545
PM_101,0.00029277928302026983
PM_102,0.003665043931493915
PM_103,0.0001813134197601155
PM_104,0.0
PM_105,0.00020970482807972386
PM_106,0.0
PM_107,0.0001636940459896917
PM_108,0.0014898773324440796
PM_109,0.004998730440890401
PM_11,0.011635011454588633
PM_110,0.0034794126745603922
PM_111,0.006398443194727555
PM_112,0.0007107312201974254
PM_113,0.006386912075595716
PM_114,0.00024137650604327482
PM_115,0.0
PM_116,0.0008452722154512162
PM_117,0.00045731768403361263
PM_118,0.00038430515045633103
PM_119,0.0027196685801940215
PM_12,0.0012366741677589102
PM_120,0.00030248685012098574
PM_121,0.011112460628411477
PM_122,0.0013915727096771011
PM_123,0.0003235237524749413
PM_124,0.015086507795772947
PM_125,0.0017301479004768485
PM_126,0.0005444275798242512
PM_127,0.003072498495939488
PM_128,0.0009010034083198465
PM_129,0.01656260469050415
PM_13,0.00024243745942184586
PM_130,0.007252406729939026
PM_131,0.0004296609483856781
PM_132,0.0014490211980215915
PM_133,0.0026177880504832016
PM_134,0.0
PM_135,0.0
PM_136,0.0012860296410493078
PM_137,0.012143338069534776
PM_138,0.0030106677066763874
PM_139,0.00021106197089793368
PM_14,0.002013991321094447
PM_140,0.018138976745896058
PM_141,0.0007654872419443157
PM_142,0.000377107977390429
PM_143,0.001480835026187888
PM_144,0.0024519581809426725
PM_145,0.0
PM_146,0.01695480814855647
PM_147,0.00520673947237486
PM_148,0.00019675434834420035
PM_149,0.0
PM_15,0.028759142844688876
PM_150,0.0
PM_151,0.0
PM_152,0.00027699659817827433
PM_153,0.0
PM_154,0.002560230068677578
PM_155,0.004725680789453978
PM_156,0.0
PM_157,0.0005547027754861017
PM_158,0.00023473523635607926
PM_159,0.0004458336769520574
PM_16,0.014142926213181105
PM_160,0.00018696899500330601
PM_161,0.055968895527058075
PM_162,0.00043365789347482673
PM_163,0.015354960486398667
PM_164,0.0
PM_165,0.0
PM_166,0.0003036058417313388
PM_167,0.0006748696974832978
PM_168,0.0005434357854096352
PM_169,0.0
PM_17,0.004483589542655657
PM_170,0.0026519904896870473
PM_171,0.0
PM_172,0.0
PM_173,0.0018895884401832763
PM_174,0.00020581038585083992
PM_175,0.0018200937177138231
PM_176,0.0
PM_177,0.0019409472381583844
PM_178,0.0009132884318176034
PM_179,0.0006935086796521894
PM_18,0.0
PM_180,0.007100766166826273
PM_181,0.0020882592026759995
PM_182,0.0028435867241917005
PM_183,0.00038105434534469227
PM_184,0.0013932967036638106
PM_185,0.0
PM_186,0.0008133824544218767
PM_187,0.0003073662624302002
PM_188,0.0030213100688616826
PM_189,0.0005346728196743732
PM_19,0.0
PM_190,0.005368985167055786
PM_191,0.0005794313119412338
PM_192,0.00044956883562000924
PM_193,0.0
PM_194,0.0
PM_195,0.0
PM_196,0.00048586221211777294
PM_197,0.00020021700610001945
PM_198,0.039014535644670056
PM_199,0.0487479468218474
PM_2,0.0
PM_20,0.000643774447932769
PM_21,0.0002050813574143248
PM_22,0.001721547200806088
PM_23,0.00027558331911228074
PM_24,0.005243135270085616
PM_25,0.03223153337714195
PM_26,0.0
PM_27,0.0027532396434818245
PM_28,0.0
PM_29,0.0008754664276932954
PM_3,0.0004192418682516873
PM_30,0.0
PM_31,0.0029117579024343773
PM_32,0.0
PM_33,0.00643202754521043
PM_34,0.0010732535696178133
PM_35,0.0004786898247612688
PM_36,0.00042415289428321715
PM_37,0.0063267917068433824
PM_38,0.00018844569586168653
PM_39,0.0005485610081691817
PM_4,0.00046136365270818406
PM_40,0.0
PM_41,0.02516198173141402
PM_42,0.0
PM_43,0.0009937653663265123
PM_44,0.00494980773028566
PM_45,0.0
PM_46,0.0008963055508764007
PM_47,0.0
PM_48,0.0012229317743321863
PM_49,0.001545495989150744
PM_5,0.0019644603315588727
PM_50,0.0014487789389651489
PM_51,0.0007727171661104782
PM_52,0.001943224385047098
PM_53,0.0009635064051251036
PM_54,0.0016841239560242028
PM_55,0.001281813548831318
PM_56,0.0018226779312358447
PM_57,0.00037018907494477943
PM_58,0.0003274777897415961
PM_59,0.0
PM_6,0.0006038666580183862
PM_60,0.0
PM_61,0.0
PM_62,0.0
PM_63,0.00016922865811529577
PM_64,0.00039082125773957796
PM_65,0.0021433960274350157
PM_66,0.0008382885355035516
PM_67,0.0002681139439684447
PM_68,0.002322618409711768
PM_69,0.0002133838936264668
PM_7,0.00044202657919594645
PM_70,0.1614348946831546
PM_71,0.0005347831361950135
PM_72,0.0009204700786598876
PM_73,0.0003829267688234041
PM_74,0.0006562068276288475
PM_75,0.00036851037394886683
PM_76,0.0024572513709624536
PM_77,0.001869239865468439
PM_78,0.0008868917893629908
PM_79,0.00044067359043875777
PM_8,0.0010086228221149016
PM_80,0.03482902156091205
PM_81,0.0008732483003503628
PM_82,0.000544003166856007
PM_83,0.0
PM_84,0.0
PM_85,0.0011121440113673706
PM_86,0.002087826823874643
PM_87,0.0005175491264659218
PM_88,0.0
PM_89,0.0005913409183707585
PM_9,0.0006918441391713075
PM_90,0.0004084828667406355
PM_91,0.00042918313116698377
PM_92,0.0
PM_93,0.004131423126972018
PM_94,0.003397497864977982
PM_95,0.0
PM_96,0.000631531467063327
PM_97,0.001608782091920006
PM_98,0.00024771621375452627
PM_99,0.0006004844475422359
POS_#,0.0
POS_$,0.0
POS_'',0.0
POS_(,0.0
POS_),0.0
"POS_,",0.0
POS_.,0.0
POS_:,0.0
POS_CC,0.0
POS_CD,0.0
POS_DT,0.0
POS_EX,0.0
POS_FW,0.0
POS_IN,0.0
POS_JJ,0.015337557634295838
POS_JJR,0.0
POS_JJS,0.0
POS_LAG_-1_#,0.0
POS_LAG_-1_$,0.0
POS_LAG_-1_'',0.0
POS_LAG_-1_(,0.002910078959977049
POS_LAG_-1_),0.0
"POS_LAG_-1_,",0.0018344755267528828
POS_LAG_-1_.,0.00029114225519747815
POS_LAG_-1_:,0.00021417817342477637
POS_LAG_-1_CC,0.004312734671849761
POS_LAG_-1_CD,0.01020305037159725
POS_LAG_-1_DT,0.005259462646178227
POS_LAG_-1_EX,0.0001775968974819947
POS_LAG_-1_FW,0.0
POS_LAG_-1_IN,0.0
POS_LAG_-1_JJ,0.0008209520742628731
POS_LAG_-1_JJR,0.0
POS_LAG_-1_JJS,0.0
POS_LAG_-1_MD,0.00031410538667883664
POS_LAG_-1_NN,0.004879123446587516
POS_LAG_-1_NNP,0.0012029957330324745
POS_LAG_-1_NNPS,0.0
POS_LAG_-1_NNS,0.000730109577117292
POS_LAG_-1_PDT,0.0
POS_LAG_-1_POS,0.0005127787468741881
POS_LAG_-1_PRP,0.0003834993210400009
POS_LAG_-1_PRP$,0.0
POS_LAG_-1_RB,0.0002762844521871953
POS_LAG_-1_RBR,0.0
POS_LAG_-1_RBS,0.0
POS_LAG_-1_RP,0.0
POS_LAG_-1_SYM,0.0
POS_LAG_-1_TO,0.0
POS_LAG_-1_UH,0.0
POS_LAG_-1_VB,0.0
POS_LAG_-1_VBD,0.003004145330691754
POS_LAG_-1_VBG,0.0
POS_LAG_-1_VBN,0.0
POS_LAG_-1_VBP,0.0005351084119613019
POS_LAG_-1_VBZ,0.0010492187750253817
POS_LAG_-1_WDT,0.0
POS_LAG_-1_WP,0.0
POS_LAG_-1_WP$,0.0
POS_LAG_-1_WRB,0.0
POS_LAG_-2_#,0.0
POS_LAG_-2_$,0.0
