,1,micro avg,macro avg,weighted avg
precision,0.358038319009698,0.358038319009698,0.358038319009698,0.358038319009698
recall,0.7766375919274842,0.7766375919274842,0.7766375919274842,0.7766375919274842
f1-score,0.4901241230437129,0.4901241230437129,0.4901241230437129,0.49012412304371294
support,5847.0,5847.0,5847.0,5847.0
