,1,micro avg,macro avg,weighted avg
precision,0.31638744463701135,0.31638744463701135,0.31638744463701135,0.31638744463701135
recall,0.7263483642793988,0.7263483642793988,0.7263483642793988,0.7263483642793988
f1-score,0.4407780013413817,0.4407780013413817,0.4407780013413817,0.4407780013413817
support,4524.0,4524.0,4524.0,4524.0
