,not_interventions,micro avg,macro avg,weighted avg
precision,0.9260400968169156,0.9260400968169156,0.9260400968169156,0.9260400968169156
recall,0.983898880765996,0.983898880765996,0.983898880765996,0.983898880765996
f1-score,0.9540931155357242,0.9540931155357242,0.9540931155357242,0.9540931155357242
support,123656.0,123656.0,123656.0,123656.0
