,0
stopword,0.003026605545168085
punctuation,0.0001956182462840954
is_upper,0.0011360335274461825
is_lower,0.0009566934940625768
cap_first,0.0002650717503838913
is_int,8.901390357054237e-05
is_dec,0.00016949083369763855
first_sent,0.002883205305415479
last_sent,0.003036139498689486
first_word,0.000897002044755778
last_word,5.8959414809944446e-05
FIRST_WORD_LAG1,0.0012737355525603085
FIRST_WORD_LAG2,0.0017495575634222339
LAST_WORD_LAG-2,0.002442758358722512
LAST_WORD_LAG-1,0.0016306899809554326
doc_loc,0.0822518100833811
sent_id,0.058896431926445565
sent_loc,0.04787633103540961
dist_to_parent,0.018415196344337196
tfidf,0.004963405124212229
TFIDF_LAG-2,0.025439280843918735
TFIDF_LAG-1,0.02713565860004976
TFIDF_LAG1,0.03101819497901786
TFIDF_LAG2,0.026368031678052795
PCA_0,0.009179372408606943
PCA_1,0.004201625440128935
PCA_2,0.00984186342527713
PCA_3,0.005356887557708993
PCA_4,0.016196083604510525
PCA_5,0.017739109842520247
PCA_6,0.015048348211685846
PCA_7,0.0033117837878908008
PCA_8,0.004157354878949504
PCA_9,0.004317457037935293
PCA_10,0.004185679014918495
PCA_11,0.0059975483267922895
PCA_12,0.0031228783065795746
PCA_13,0.0030932849252485947
PCA_14,0.005423339945609949
PCA_15,0.003991795701106115
PCA_16,0.0032406395032309235
PCA_17,0.010832056920449829
PCA_18,0.0029858015102128986
PCA_19,0.00348480687537602
PCA_20,0.0032330044046547032
PCA_21,0.0047652449738611385
PCA_22,0.003156273946338587
PCA_23,0.002624766928988797
PCA_24,0.002427467155688478
PCA_25,0.00468065257642967
PCA_26,0.003092455775959414
PCA_27,0.0022022354375968367
PCA_28,0.003242718240556168
PCA_29,0.002505407016371767
PCA_30,0.002501877378381764
PCA_31,0.0024143328804824274
PCA_32,0.002091426503721044
PCA_33,0.003048693748360337
PCA_34,0.002536260616299041
PCA_35,0.00253272766178062
PCA_36,0.0023152516917638684
PCA_37,0.0023177495774900957
PCA_38,0.002307768127111435
PCA_39,0.003520017172659897
PCA_40,0.0026254106349003236
PCA_41,0.0023758068492984123
PCA_42,0.003269795984043858
PCA_43,0.002100273736867473
PCA_44,0.0022824065106804587
PCA_45,0.0022621769925286143
PCA_46,0.002311426388001282
PCA_47,0.0028985797855991136
PCA_48,0.003825341983382566
PCA_49,0.003857769548229211
PCA_50,0.0020971560428992703
PCA_51,0.001922648376766317
PCA_52,0.0021171086598559324
PCA_53,0.002239969494838839
PCA_54,0.0019619993854890494
PCA_55,0.0019877371361922075
PCA_56,0.002022722583523108
PCA_57,0.0018141661594039417
PCA_58,0.001815085381746376
PCA_59,0.002894699190649262
PCA_60,0.0019108023373875446
PCA_61,0.0025542525214178047
PCA_62,0.002363195502936015
PCA_63,0.0019596080146912216
PCA_64,0.0032779378181724507
PCA_65,0.0021427860005866655
PCA_66,0.0022353140249694718
PCA_67,0.0030292588563726203
PCA_68,0.0024658547368361016
PCA_69,0.0019300636264502659
PCA_70,0.0019781527288344823
PCA_71,0.002909750590031186
PCA_72,0.0022299252179076223
PCA_73,0.002575101770516231
PCA_74,0.002066906851316992
PCA_75,0.001904600172809235
PCA_76,0.002180876455228876
PCA_77,0.0026883896911462563
PCA_78,0.0023280603780916048
PCA_79,0.002143184196706458
PCA_80,0.0020245428975679937
PCA_81,0.0018425507473266134
PCA_82,0.0022399955398623842
PCA_83,0.002108779205491305
PCA_84,0.0018863226834736574
PCA_85,0.0022070397605352494
PCA_86,0.0019186204833448214
PCA_87,0.002017377963303214
PCA_88,0.002196136630739523
PCA_89,0.0019403349831956273
PCA_90,0.0020828915119657826
PCA_91,0.0017351155725357423
PCA_92,0.002855386932744276
PCA_93,0.0018972131865276614
PCA_94,0.002185094475316035
PCA_95,0.002137578362437333
PCA_96,0.00179633993695111
PCA_97,0.0018387990025945315
PCA_98,0.0020434360385496375
PCA_99,0.0020057383083091824
PCA_100,0.0017578742956858154
PCA_101,0.0018484560119392166
PCA_102,0.001914379209757262
PCA_103,0.0016981032234082217
PCA_104,0.0019013733812732426
PCA_105,0.0018048904349551188
PCA_106,0.0019432405037135487
PCA_107,0.001837089849523099
PCA_108,0.0018434719973635598
PCA_109,0.0019496502591774283
PCA_110,0.0017904960002722132
PCA_111,0.0019352360463561643
PCA_112,0.0018750954734830223
PCA_113,0.0018539200895383817
PCA_114,0.0017090591865336951
PCA_115,0.0018378854164679472
PCA_116,0.0018948358134927375
PCA_117,0.0019352488324404708
PCA_118,0.0018101820111886045
PCA_119,0.0019039555406010966
PCA_120,0.001842668598231221
PCA_121,0.0020093913367599217
PCA_122,0.001754997423144682
PCA_123,0.001754719138727199
PCA_124,0.001885395654515909
PCA_125,0.002094507534226898
PCA_126,0.0019252370245637625
PCA_127,0.001765909137947059
PCA_128,0.001955959494999198
PCA_129,0.0021283360747029823
PCA_130,0.0020243318708766714
PCA_131,0.0018012083757231877
PCA_132,0.0017648273662339556
PCA_133,0.0017731067661689434
PCA_134,0.001990473154206577
PCA_135,0.0022639094809879298
PCA_136,0.0022146562532616544
PCA_137,0.0020841220759149613
UPOS_LAG-2_ADJ,0.0038521978882688204
UPOS_LAG-2_ADP,0.004842130603022789
UPOS_LAG-2_ADV,0.0014866761623186754
UPOS_LAG-2_AUX,0.0020471450581581296
UPOS_LAG-2_CCONJ,0.0029875784076009502
UPOS_LAG-2_DET,0.002555050814397538
UPOS_LAG-2_INTJ,1.3447412535107712e-05
UPOS_LAG-2_NOUN,0.007160506746344892
UPOS_LAG-2_NUM,0.0027708239822019634
UPOS_LAG-2_PART,0.0007595955882648723
UPOS_LAG-2_PRON,0.0008247039278949899
UPOS_LAG-2_PROPN,0.0014644944304284212
UPOS_LAG-2_PUNCT,0.004840108955584098
UPOS_LAG-2_SCONJ,0.0005878010242762295
UPOS_LAG-2_SYM,0.000743607448309993
UPOS_LAG-2_VERB,0.003235047495919512
UPOS_LAG-2_X,0.0002465119496866717
UPOS_LAG-2__,0.00023802248397208995
xpos_stem_$,3.852886774804989e-06
xpos_stem_'',9.19443798792172e-06
"xpos_stem_,",3.8388417830211333e-05
xpos_stem_-L,1.3282179388070836e-05
xpos_stem_-R,2.8854665437206787e-05
xpos_stem_.,4.2308810973937576e-05
xpos_stem_:,2.3784270016941668e-06
xpos_stem_AD,4.619611590744076e-06
xpos_stem_AF,3.966443034503512e-06
xpos_stem_CC,8.0386952969759e-05
xpos_stem_CD,0.0006055609186779331
xpos_stem_DT,0.0007396946634752149
xpos_stem_EX,4.156676961387615e-06
xpos_stem_FW,2.3734562772863174e-06
xpos_stem_GW,9.906295478820383e-07
xpos_stem_HY,1.6702709470510673e-06
xpos_stem_IN,0.0009667733499851196
xpos_stem_JJ,0.0003986928119871308
xpos_stem_LS,4.6947825356699194e-05
xpos_stem_MD,8.119710808577642e-06
xpos_stem_NF,5.4159446455688617e-08
xpos_stem_NN,0.0055549737100199885
xpos_stem_PD,7.27737430156133e-07
xpos_stem_PO,1.3230839932288213e-05
xpos_stem_PR,3.634953014112268e-05
xpos_stem_RB,0.000104246322984575
xpos_stem_RP,4.058807424538631e-06
xpos_stem_SY,2.0724181570273363e-05
xpos_stem_TO,2.6506338195931258e-05
xpos_stem_UH,1.6493725538638653e-06
xpos_stem_VB,0.0009691466234746812
xpos_stem_WD,1.5024166151908633e-05
xpos_stem_WP,7.9320014368833e-06
xpos_stem_WR,1.4933111064118685e-06
xpos_stem_``,1.3887247789595022e-06
par_deprel__,0.0005182981600777795
par_deprel_acl,0.0009745914357161792
par_deprel_acl:relcl,0.00047905528869501563
par_deprel_advcl,0.0007704598638065424
par_deprel_advmod,0.00013853678399797182
par_deprel_amod,0.00040297403935207526
par_deprel_appos,0.002547967369488138
