,0
0,1.3175179084362671
1,1.3034564975175473
2,1.2930641064543251
3,1.2834245058998026
4,1.2759343628107709
5,1.2696012700521644
6,1.2619405162309922
7,1.2555746324263153
8,1.2503649695057244
9,1.2462377592466327
10,1.2415584986697916
11,1.23676493930886
12,1.2344022006294704
13,1.2318758112571384
14,1.2294829497987645
15,1.227331935953567
16,1.2253647955534532
17,1.2235278650744292
18,1.2218423845354793
19,1.220695338855983
20,1.2196497399278428
21,1.2184700979950185
22,1.2171326930630753
23,1.2160248339257265
24,1.2151169806017887
25,1.2144067111832058
26,1.2134672745549637
27,1.2128453126123984
28,1.212268727520412
29,1.211533399362529
30,1.210852148225224
31,1.2102211694748373
32,1.2095715808157146
33,1.20909849505782
34,1.2086555693757448
35,1.2081544877772457
36,1.2076023977542456
37,1.2069734009628013
38,1.2066178210116145
39,1.2063078994449477
40,1.2058008122262707
41,1.2051319304607424
42,1.2047172744983647
43,1.2044356794062319
44,1.2040296161103778
45,1.2036978854111664
46,1.2034679074198142
47,1.202887607226243
48,1.202545453538492
49,1.2022738565705782
50,1.2020320294830078
51,1.2018096715785909
52,1.2014942249433576
53,1.2012834701911768
54,1.200896855618806
55,1.2005755130399536
56,1.2003114354987836
57,1.2000924236432837
58,1.199911006223817
59,1.1997076607653254
60,1.19941547843544
61,1.1990443543614238
62,1.1988426055744075
63,1.1984912993894377
64,1.1982009874040653
65,1.1979595164510863
66,1.197759159925051
67,1.1975673522468873
68,1.1973434748119478
69,1.197169932352157
70,1.1970063744704325
71,1.1967933467419323
72,1.1966433319612186
73,1.1964973609870837
74,1.1963638232968223
75,1.196162416031526
76,1.1960521842953322
77,1.1959231367342178
78,1.1958167095160723
79,1.1956988779120092
80,1.1955802942241982
81,1.1954572033269282
82,1.1952355856384356
83,1.1950034109994974
84,1.1946981043469216
85,1.1944623017123543
86,1.194365156712688
87,1.1942318393060467
88,1.1941316975907525
89,1.1940382093331916
90,1.1939244250834748
91,1.1938372070168914
92,1.1936884417522786
93,1.1935686273669133
94,1.1934627333003773
95,1.1933331234445133
96,1.1932506915862724
97,1.1931740376639957
98,1.19310424964085
99,1.193012800050672
100,1.1929381928402345
101,1.192861314794093
102,1.192794364473219
103,1.1927312273156805
104,1.1926348671735478
105,1.1925593447670157
106,1.1924755837647052
107,1.1923467994467043
108,1.192259908401976
109,1.1921388103053077
110,1.1920479859834316
111,1.1919718212336115
112,1.1918959257806592
113,1.1918364826044747
114,1.191765413994454
115,1.1916986424716531
116,1.191633256792881
117,1.1915322138874693
118,1.1913855647276768
119,1.1912801655371414
120,1.1911949818709644
121,1.1911122119874205
122,1.1910655295404027
123,1.1910163564766914
124,1.1909744592774452
125,1.1909310466721432
126,1.19087832058238
127,1.1908339134572574
128,1.1907964105220379
129,1.19076027601161
130,1.190716346102193
131,1.190680407573948
132,1.1906412586645432
133,1.1905717825976625
134,1.1905277830198202
135,1.1904492776616429
136,1.190345878731041
137,1.1903082923540975
138,1.1902554241183882
139,1.1902126633018815
140,1.1901701578170214
141,1.1901335576031449
142,1.1900796242221898
143,1.1900278390875325
144,1.1899860833893101
145,1.189947128549072
146,1.1899117238841503
147,1.1898768367956554
148,1.1898406772238674
149,1.1898039270869725
150,1.1897695027432398
151,1.1897282813175323
152,1.1896746809075627
153,1.1895953545293545
154,1.1894920043263733
155,1.1894275467402136
156,1.189332613537449
157,1.1893000188308882
158,1.189270895874913
159,1.1892440736835364
160,1.189214915230933
161,1.1891772871521078
162,1.1891476222732498
163,1.1891213674239693
164,1.1890748943656244
165,1.1890251017934486
166,1.1889923491692356
167,1.1889617852876977
168,1.1889330470958466
169,1.188902441778169
170,1.1888785620033404
171,1.1888522262215029
172,1.188827871062291
173,1.188803262397085
174,1.1887768158538492
175,1.1887524400319216
176,1.1887327980637588
177,1.188712004434342
178,1.188690216196066
179,1.188671275293765
180,1.1886497895581514
181,1.18860957850437
182,1.188515927026308
183,1.1884952046461972
184,1.1884767980308342
185,1.1884455540115813
186,1.1884031820307563
187,1.1883543546371267
188,1.188335914082978
189,1.1883154896246002
190,1.1882923108762484
191,1.1882746153812962
192,1.1882565868104205
193,1.1882417208187135
194,1.1882132722793124
195,1.1881500694398315
196,1.1881159448136984
197,1.1880678696668192
198,1.1880396407368314
199,1.1880080867989358
200,1.1879928619156044
201,1.187978311005112
202,1.1879607449545768
203,1.1879477806556462
204,1.1879321629516104
205,1.1879129549827605
206,1.1878971943336551
207,1.1878809331665434
208,1.187856067788413
209,1.187839910091774
210,1.1878177237022218
211,1.187802512867431
212,1.1877850229705693
213,1.1877694439203796
214,1.1877542566447024
215,1.1877277005771671
216,1.1876941560265257
217,1.1876624150772928
218,1.187636645592002
219,1.1876035812508172
220,1.1875859238039654
221,1.187575974081493
222,1.1875651820727953
223,1.1875523676314559
224,1.187539737293338
225,1.1875288501811079
226,1.1875102921335334
227,1.1874888104873473
228,1.1874752051730935
