,outcomes,micro avg,macro avg,weighted avg
precision,0.6404239991767007,0.6404239991767007,0.6404239991767007,0.6404239991767007
recall,0.38465817777228334,0.38465817777228334,0.38465817777228334,0.38465817777228334
f1-score,0.48063332689708443,0.48063332689708443,0.48063332689708443,0.48063332689708443
support,16178.0,16178.0,16178.0,16178.0
